               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049154,            0.032893,           0.0071057,             0.83103,             0.44778,             0.49273,             0.24973,            0.036344,            0.027148,           0.0057111,             0.00895,             0.00895,             0.00895
                  37,            0.048174,            0.033834,           0.0065244,             0.79391,             0.37247,             0.40136,             0.19322,             0.03927,            0.031022,           0.0070436,             0.00892,             0.00892,             0.00892
                  38,            0.048013,            0.031076,           0.0067245,             0.85882,             0.44173,             0.50037,             0.26029,             0.03486,            0.025771,           0.0060823,             0.00889,             0.00889,             0.00889
                  39,            0.046699,            0.030596,           0.0071498,             0.89704,             0.43681,             0.52016,             0.28006,            0.033185,            0.025752,           0.0056127,             0.00886,             0.00886,             0.00886
                  40,            0.045891,            0.029865,           0.0066399,             0.88604,             0.43671,             0.50792,             0.24035,             0.03823,            0.025462,           0.0055524,             0.00883,             0.00883,             0.00883
                  41,            0.047018,            0.032835,           0.0068015,             0.89368,             0.45303,             0.51939,             0.26206,            0.033402,            0.028486,           0.0056543,              0.0088,              0.0088,              0.0088
                  42,            0.046188,            0.030066,            0.006856,             0.91084,             0.44787,             0.53336,             0.29311,            0.032137,             0.02433,            0.005411,             0.00877,             0.00877,             0.00877
                  43,            0.046701,            0.028231,           0.0070892,             0.85283,             0.49145,             0.53809,             0.29281,            0.033249,            0.025045,           0.0051437,             0.00874,             0.00874,             0.00874
                  44,            0.044815,            0.030651,           0.0066618,             0.88537,             0.48536,             0.53831,             0.29893,            0.031332,            0.024389,           0.0053599,             0.00871,             0.00871,             0.00871
                  45,            0.044039,            0.030175,           0.0063735,             0.83717,             0.50494,             0.53316,             0.29983,            0.031175,            0.023965,           0.0051729,             0.00868,             0.00868,             0.00868
                  46,            0.046002,            0.029155,           0.0063212,             0.88155,             0.45008,             0.51512,             0.27644,            0.032616,            0.025253,           0.0058338,             0.00865,             0.00865,             0.00865
                  47,            0.044839,            0.029587,            0.006858,             0.90016,             0.47582,             0.54343,             0.30381,            0.030703,            0.024003,           0.0051894,             0.00862,             0.00862,             0.00862
                  48,            0.043255,            0.028107,           0.0062738,             0.86138,             0.47694,             0.52864,             0.29672,            0.031438,             0.02361,            0.005784,             0.00859,             0.00859,             0.00859
                  49,            0.045166,            0.030816,           0.0059866,             0.88957,              0.4806,              0.5401,             0.31108,            0.030551,            0.023311,           0.0051262,             0.00856,             0.00856,             0.00856
                  50,            0.043145,             0.02795,           0.0062248,              0.9208,             0.46701,             0.55613,             0.29743,            0.031685,            0.024404,           0.0050349,             0.00853,             0.00853,             0.00853
                  51,            0.046065,            0.031959,           0.0062035,             0.87068,               0.486,             0.54508,             0.30088,            0.032269,            0.024173,           0.0049609,              0.0085,              0.0085,              0.0085
                  52,            0.044306,            0.027385,           0.0057241,             0.90387,             0.48006,             0.55136,             0.30815,            0.031249,            0.023586,           0.0049099,             0.00847,             0.00847,             0.00847
                  53,            0.043288,            0.027614,           0.0059863,             0.90907,             0.49207,             0.57897,             0.33239,            0.030766,            0.025655,           0.0046065,             0.00844,             0.00844,             0.00844
                  54,            0.042094,            0.026965,           0.0057205,             0.91635,             0.48255,             0.57369,             0.33174,            0.029674,              0.0233,           0.0047039,             0.00841,             0.00841,             0.00841
                  55,            0.044942,            0.028638,           0.0063583,             0.91014,             0.48184,             0.57063,             0.32737,            0.029645,             0.02247,           0.0045542,             0.00838,             0.00838,             0.00838
                  56,            0.042826,            0.028492,           0.0062341,             0.90023,             0.49147,             0.57647,             0.31608,             0.03085,            0.024779,           0.0045738,             0.00835,             0.00835,             0.00835
                  57,            0.041496,            0.026334,           0.0058267,             0.88889,              0.4957,             0.57664,             0.33373,            0.029606,            0.023103,           0.0046175,             0.00832,             0.00832,             0.00832
                  58,            0.042012,            0.028366,           0.0049339,             0.90347,              0.4797,             0.58404,             0.33025,             0.02998,            0.022662,           0.0050102,             0.00829,             0.00829,             0.00829
                  59,            0.042692,            0.027481,           0.0056873,               0.915,             0.49653,             0.58881,             0.34517,            0.028648,            0.022322,           0.0044394,             0.00826,             0.00826,             0.00826
                  60,            0.041082,            0.027439,           0.0053828,             0.89952,             0.49718,             0.57902,             0.33263,            0.029246,            0.022496,           0.0048009,             0.00823,             0.00823,             0.00823
                  61,            0.040874,            0.028608,            0.006128,             0.90597,             0.50511,             0.60475,             0.36475,            0.028405,            0.022087,           0.0043586,              0.0082,              0.0082,              0.0082
                  62,            0.043377,            0.030135,            0.006515,             0.89669,             0.49869,             0.61028,             0.34707,            0.029683,            0.023279,           0.0046661,             0.00817,             0.00817,             0.00817
                  63,            0.042441,            0.027323,           0.0060347,             0.88707,             0.51472,             0.61862,             0.36557,            0.029167,            0.022347,           0.0045275,             0.00814,             0.00814,             0.00814
                  64,            0.040988,            0.025428,           0.0052953,             0.89603,             0.50687,              0.6183,             0.37226,            0.028207,            0.023127,           0.0045248,             0.00811,             0.00811,             0.00811
                  65,            0.042669,            0.026981,           0.0064171,             0.88334,             0.53131,             0.60637,             0.34757,            0.029094,            0.022143,           0.0043788,             0.00808,             0.00808,             0.00808
                  66,            0.041619,            0.027324,           0.0055484,             0.89937,             0.51789,             0.61569,             0.36568,            0.027857,            0.021862,           0.0041641,             0.00805,             0.00805,             0.00805
                  67,            0.041806,            0.030599,           0.0059099,             0.89379,             0.51365,             0.60091,              0.3524,            0.027896,            0.022247,           0.0043549,             0.00802,             0.00802,             0.00802
                  68,            0.039663,            0.025717,           0.0055586,              0.8924,              0.5189,             0.60327,             0.35329,             0.02827,            0.023087,           0.0042357,             0.00799,             0.00799,             0.00799
                  69,            0.041441,            0.029228,           0.0052954,             0.90076,             0.51291,             0.60481,             0.35192,            0.027908,            0.022123,           0.0044579,             0.00796,             0.00796,             0.00796
                  70,            0.041391,            0.027163,           0.0051439,             0.91566,             0.48396,             0.62207,             0.34016,            0.029792,            0.022061,           0.0043981,             0.00793,             0.00793,             0.00793
                  71,            0.040341,             0.02695,           0.0057072,             0.91386,             0.51201,             0.62719,             0.37179,            0.027465,            0.021711,           0.0040735,              0.0079,              0.0079,              0.0079
                  72,            0.040741,            0.028069,           0.0052657,             0.91352,             0.50848,             0.61834,             0.37466,             0.02693,            0.021594,           0.0041361,             0.00787,             0.00787,             0.00787
                  73,            0.039274,            0.026993,            0.005129,             0.90957,             0.51861,              0.6322,             0.38811,            0.026873,            0.021223,            0.004226,             0.00784,             0.00784,             0.00784
                  74,            0.039551,            0.028275,           0.0047467,             0.89623,             0.53054,             0.65451,              0.3822,             0.02816,            0.021439,           0.0039606,             0.00781,             0.00781,             0.00781
                  75,            0.039586,            0.027846,           0.0052113,             0.89649,              0.5336,             0.67192,             0.40172,             0.02693,            0.021264,           0.0038766,             0.00778,             0.00778,             0.00778
                  76,            0.039314,            0.027531,           0.0055964,             0.88448,             0.52332,             0.60775,             0.36287,            0.027718,            0.021411,           0.0044906,             0.00775,             0.00775,             0.00775
                  77,            0.039434,            0.028233,           0.0053462,             0.91014,             0.52215,             0.66755,             0.41262,            0.026948,            0.021034,           0.0039352,             0.00772,             0.00772,             0.00772
                  78,            0.039054,            0.027061,            0.005554,             0.90921,             0.52579,             0.63332,             0.37997,            0.027113,            0.021087,           0.0041176,             0.00769,             0.00769,             0.00769
                  79,            0.040584,            0.028297,           0.0057223,             0.91185,             0.51794,             0.64089,             0.39387,            0.026349,            0.021092,           0.0041794,             0.00766,             0.00766,             0.00766
                  80,            0.039151,            0.028506,           0.0052025,             0.90329,             0.51669,             0.60469,             0.35592,            0.027127,            0.021341,           0.0046954,             0.00763,             0.00763,             0.00763
                  81,            0.039252,            0.027015,           0.0050813,              0.9125,             0.51452,             0.60915,             0.37127,            0.026498,            0.020836,            0.004266,              0.0076,              0.0076,              0.0076
                  82,            0.038001,            0.026507,           0.0049599,             0.89842,             0.53418,               0.665,             0.40519,            0.026318,            0.021036,           0.0039238,             0.00757,             0.00757,             0.00757
                  83,            0.038666,            0.024873,           0.0051653,              0.9183,             0.52896,             0.68285,             0.41443,            0.026554,            0.021272,           0.0039151,             0.00754,             0.00754,             0.00754
                  84,            0.038034,             0.02654,           0.0048715,              0.4525,             0.71467,              0.6495,             0.40375,            0.025927,            0.020757,           0.0040012,             0.00751,             0.00751,             0.00751
                  85,            0.037359,            0.025366,           0.0050074,             0.89377,             0.54289,             0.66335,             0.40811,             0.02604,            0.021337,           0.0039278,             0.00748,             0.00748,             0.00748
                  86,            0.037769,            0.025503,           0.0047717,             0.50305,             0.68928,             0.68199,             0.41964,            0.026478,            0.020561,           0.0037203,             0.00745,             0.00745,             0.00745
                  87,            0.038243,            0.028027,           0.0046381,             0.90715,              0.5256,              0.6589,             0.39926,            0.026762,            0.020732,           0.0037881,             0.00742,             0.00742,             0.00742
                  88,            0.037448,            0.025135,           0.0046551,             0.89636,             0.54127,             0.63804,             0.38801,            0.026296,             0.02067,           0.0037295,             0.00739,             0.00739,             0.00739
