,title,link,channel,views,time_published,snippet,verified_badge,extensions
22,Howard Plays Viral Videos of People Refusing to Wear a Face Mask,https://www.youtube.com/watch?v=7dFz4sJ5RPs,"{'channel_name': 'The Howard Stern Show', 'channel_link': 'https://www.youtube.com/c/howardstern'}",549K views,1 year ago,Howard and Robin comment on videos of people not wearing masks in grocery stories during COVID-19. SUBSCRIBE for more ...,True,
23,"It’s Important To Wear Your Mask Over Your Nose, New Research Shows | TODAY",https://www.youtube.com/watch?v=JMHX0Bf0YEY,"{'channel_name': 'TODAY', 'channel_link': 'https://www.youtube.com/c/TODAY'}",14K views,1 year ago,"About: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give ...",True,CC
24,Woman Says She Can’t Medically Wear a Mask,https://www.youtube.com/watch?v=i-2lJxe7eW0,"{'channel_name': 'Inside Edition', 'channel_link': 'https://www.youtube.com/c/InsideEdition'}",1.3M views,1 year ago,To mask or not to mask? Health experts say it shouldn't even be a question. Scientific evidence shows wearing a mask could ...,True,CC
25,People should NOT wear masks while exercising,https://www.youtube.com/watch?v=1_AxGswGnno,"{'channel_name': 'World Health Organization (WHO)', 'channel_link': 'https://www.youtube.com/c/who'}",61K views,1 year ago,"People should NOT wear masks when exercising, as masks may reduce the ability to breathe comfortably. Sweat can make the ...",True,
26,VIDEO: Woman arrested for refusing to wear face mask at Galveston bank,https://www.youtube.com/watch?v=275gkDNCqsc,"{'channel_name': 'FOX 26 Houston', 'channel_link': 'https://www.youtube.com/c/fox26houston'}",1.1M views,1 year ago,One woman was arrested for resisting arrest and criminal trespass after she refused to wear a face mask at a Galveston bank on ...,,
27,The Moral Failing of Not Wearing a Mask,https://www.youtube.com/watch?v=rvH2PpAQZuI,"{'channel_name': 'Dr. Gillian R. Rosenberg', 'channel_link': 'https://www.youtube.com/channel/UC4mwDeuTc-Vnbs-SoboepZg'}",74 views,1 year ago,,,
28,Donning and doffing guidance for procedure masks,https://www.youtube.com/watch?v=f6mjqbtonG4,"{'channel_name': 'Cardinal Health', 'channel_link': 'https://www.youtube.com/user/CardinalHealth'}",51K views,3 years ago,,,
29,Medical Exemption From Wearing A Mask for COVID (DOCTOR EXPLAINS),https://www.youtube.com/watch?v=HaL7gIMemrU,"{'channel_name': 'Doctor Mike Hansen', 'channel_link': 'https://www.youtube.com/c/DoctorMikeHansen'}",149K views,1 year ago,,True,4K
30,How to tell if your respirator and N95-style mask is counterfeit or poor quality (Marketplace),https://www.youtube.com/watch?v=yHy937FF16o,"{'channel_name': 'CBC News', 'channel_link': 'https://www.youtube.com/c/CBCNews'}",1M views,1 year ago,,True,CC
31,Static Sled Test of Incorrectly Worn Aviation Helmet,https://www.youtube.com/watch?v=Ck1Q3xDy-pw,"{'channel_name': 'Paraclete Aviation Life Support', 'channel_link': 'https://www.youtube.com/channel/UCecls5q9hleDtrJkyVa9jJQ'}",83 views,1 year ago,The video is an example of an incorrectly worn aviation helmet on a test sled. The chin strap and nape are fastened but worn ...,,
32,"WARNING! Masks may actually increase your coronavirus risk if worn improperly, surgeon general warns",https://www.youtube.com/watch?v=XJrCEyTVa1U,"{'channel_name': 'WeCare 4U PH', 'channel_link': 'https://www.youtube.com/c/WeCare4UPH'}",151 views,2 years ago,,,
