               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044936,            0.028708,           0.0067911,             0.87056,             0.47284,             0.54965,             0.30644,            0.031614,            0.025609,           0.0054043,             0.00895,             0.00895,             0.00895
                  37,            0.043169,            0.030916,           0.0064446,             0.87671,             0.45658,             0.52849,             0.29871,             0.03146,            0.023916,           0.0068243,             0.00892,             0.00892,             0.00892
                  38,            0.045663,             0.02822,           0.0063096,             0.91233,             0.46567,             0.55094,             0.30142,            0.031405,            0.025775,           0.0049161,             0.00889,             0.00889,             0.00889
                  39,            0.043456,            0.026582,           0.0060681,              0.8916,              0.4913,             0.56379,             0.31422,            0.029745,            0.024788,           0.0049431,             0.00886,             0.00886,             0.00886
                  40,            0.044531,            0.027721,           0.0062936,             0.89773,             0.48749,             0.56731,              0.3054,            0.030286,            0.023345,           0.0048845,             0.00883,             0.00883,             0.00883
                  41,            0.043969,             0.03059,           0.0060767,             0.87819,             0.49337,             0.55883,             0.32038,            0.030256,            0.023382,           0.0052696,              0.0088,              0.0088,              0.0088
                  42,            0.043496,            0.031497,           0.0064816,             0.88611,             0.49632,              0.5582,             0.31452,            0.030643,            0.023826,           0.0050815,             0.00877,             0.00877,             0.00877
                  43,            0.042413,            0.028219,           0.0061902,             0.91657,              0.4841,             0.57837,             0.31659,            0.029896,            0.023218,           0.0047693,             0.00874,             0.00874,             0.00874
                  44,            0.042469,            0.027447,           0.0056763,              0.8992,             0.49261,             0.57248,             0.32001,            0.030236,            0.022857,           0.0047849,             0.00871,             0.00871,             0.00871
                  45,            0.041737,            0.026617,           0.0057471,             0.89089,             0.50552,              0.5699,             0.31342,            0.030073,            0.022966,            0.005009,             0.00868,             0.00868,             0.00868
                  46,            0.042896,            0.027867,           0.0063937,             0.88823,             0.51053,             0.58817,              0.3398,            0.028458,            0.022866,           0.0046648,             0.00865,             0.00865,             0.00865
                  47,            0.042687,             0.02873,           0.0062759,             0.88807,             0.50493,             0.58748,             0.32655,            0.030249,            0.022109,           0.0047918,             0.00862,             0.00862,             0.00862
                  48,            0.042044,            0.026639,           0.0062064,             0.88625,             0.50171,             0.58699,             0.32484,            0.029084,            0.022139,           0.0049141,             0.00859,             0.00859,             0.00859
                  49,            0.040621,            0.026328,            0.005925,             0.89508,             0.50918,             0.58427,              0.3384,            0.028367,            0.022371,           0.0049733,             0.00856,             0.00856,             0.00856
                  50,            0.039894,            0.027335,           0.0059613,             0.89707,             0.50978,             0.60381,             0.35033,            0.028501,            0.022131,           0.0045205,             0.00853,             0.00853,             0.00853
                  51,            0.043311,            0.031239,           0.0062611,             0.91698,             0.49374,             0.58311,             0.32172,            0.029917,            0.023494,           0.0046731,              0.0085,              0.0085,              0.0085
                  52,            0.040629,            0.027971,           0.0061373,             0.88669,             0.53574,             0.60728,             0.35658,            0.027425,            0.021586,           0.0043498,             0.00847,             0.00847,             0.00847
                  53,            0.040205,            0.027642,            0.005461,             0.89012,             0.49102,              0.5734,             0.32734,            0.028778,            0.022781,           0.0049253,             0.00844,             0.00844,             0.00844
                  54,            0.040774,            0.028568,            0.005544,             0.93005,             0.50027,              0.6128,             0.35649,            0.028308,            0.021913,           0.0042612,             0.00841,             0.00841,             0.00841
                  55,            0.040462,            0.026732,           0.0056426,             0.87761,             0.52557,             0.58745,             0.34033,            0.028212,            0.021625,           0.0045997,             0.00838,             0.00838,             0.00838
                  56,             0.03877,            0.027073,           0.0059307,              0.9121,             0.51007,             0.64545,              0.3989,            0.026341,            0.020953,           0.0041367,             0.00835,             0.00835,             0.00835
                  57,            0.039439,            0.025719,           0.0059722,             0.88813,             0.52485,             0.59185,             0.34717,            0.026715,            0.021258,           0.0050986,             0.00832,             0.00832,             0.00832
                  58,            0.039186,            0.026985,           0.0051353,             0.90949,             0.51607,             0.61109,             0.35162,            0.028159,            0.021817,           0.0043096,             0.00829,             0.00829,             0.00829
                  59,             0.04031,            0.027635,           0.0050804,             0.90259,             0.52378,             0.63801,             0.36975,            0.027583,             0.02167,           0.0040411,             0.00826,             0.00826,             0.00826
                  60,            0.039851,            0.027762,           0.0057123,             0.90358,             0.52635,             0.62349,             0.37111,            0.026735,            0.020921,           0.0041538,             0.00823,             0.00823,             0.00823
                  61,              0.0385,            0.025161,           0.0053476,             0.91251,             0.52325,             0.61116,             0.36569,            0.026366,            0.021044,           0.0044039,              0.0082,              0.0082,              0.0082
                  62,            0.038278,            0.024923,           0.0050365,             0.88737,              0.5384,             0.61038,             0.36792,             0.02623,            0.021401,           0.0040597,             0.00817,             0.00817,             0.00817
                  63,            0.039093,            0.027329,           0.0059372,             0.88735,             0.51372,             0.60066,             0.34622,            0.027368,            0.021147,           0.0046725,             0.00814,             0.00814,             0.00814
                  64,            0.038112,            0.027804,           0.0051725,             0.90648,             0.52815,             0.62862,             0.37981,            0.026061,            0.020478,           0.0040368,             0.00811,             0.00811,             0.00811
                  65,            0.038018,            0.026129,           0.0048436,             0.91391,             0.52762,              0.6572,             0.39848,            0.026611,            0.020761,           0.0038121,             0.00808,             0.00808,             0.00808
                  66,            0.039828,            0.026653,           0.0049752,             0.92177,             0.52213,             0.61738,             0.37498,             0.02654,            0.020638,           0.0041369,             0.00805,             0.00805,             0.00805
                  67,            0.039499,            0.026684,           0.0055917,             0.90323,             0.54128,             0.62812,             0.38368,            0.025848,            0.020596,           0.0039342,             0.00802,             0.00802,             0.00802
                  68,            0.038568,            0.024565,           0.0057672,             0.93042,             0.52415,             0.62724,             0.37549,            0.026763,            0.020459,           0.0040163,             0.00799,             0.00799,             0.00799
                  69,            0.037079,            0.024474,           0.0048199,             0.90749,             0.53852,             0.65125,             0.39651,             0.02608,            0.020507,           0.0039105,             0.00796,             0.00796,             0.00796
                  70,             0.03787,            0.026349,           0.0053401,             0.90429,             0.54375,             0.68685,             0.42592,            0.025494,            0.020763,           0.0037865,             0.00793,             0.00793,             0.00793
                  71,            0.037574,            0.027065,           0.0051301,             0.92065,             0.54365,             0.64001,             0.39035,            0.025951,            0.020491,           0.0038013,              0.0079,              0.0079,              0.0079
                  72,            0.037556,            0.025464,           0.0051428,             0.92201,             0.54244,             0.66075,             0.40361,            0.025057,             0.02024,           0.0036129,             0.00787,             0.00787,             0.00787
                  73,            0.038014,            0.025082,           0.0051209,             0.90225,              0.5471,             0.69022,             0.42467,            0.026457,            0.020252,           0.0038461,             0.00784,             0.00784,             0.00784
                  74,            0.037621,             0.02495,           0.0050954,             0.92474,             0.52994,             0.63902,             0.38629,            0.025911,            0.019938,           0.0038777,             0.00781,             0.00781,             0.00781
